,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume
0,黃金果,G2,101.07.10,37.0,37.0,台北一,109,37.0,37.0,7.0
1,黃金果,G2,101.07.12,30.0,30.0,台北一,109,30.0,30.0,9.0
2,黃金果,G2,101.07.14,40.0,30.0,台北一,109,36.1,36.8,23.0
3,黃金果,G2,101.07.18,40.0,30.0,台北一,109,35.7,36.2,76.0
4,黃金果,G2,101.07.19,45.0,42.0,台北一,109,43.6,43.7,26.0
5,黃金果,G2,101.07.20,50.0,45.0,台北一,109,46.8,46.3,25.0
6,黃金果,G2,101.07.21,70.0,50.0,台北一,109,60.0,60.0,32.0
7,黃金果,G2,101.07.25,55.0,50.0,台北一,109,52.3,52.2,48.0
8,黃金果,G2,101.07.26,40.0,35.0,台北一,109,36.8,36.4,33.0
9,黃金果,G2,101.07.27,67.0,67.0,台北一,109,67.0,67.0,15.0
10,黃金果,G2,101.07.28,70.0,50.0,台北一,109,58.4,57.4,63.0
11,黃金果,G2,101.07.29,50.0,37.0,台北一,109,44.2,44.6,29.0
12,黃金果,G2,101.07.31,45.0,45.0,台北一,109,45.0,45.0,36.0
13,黃金果,G2,101.08.01,59.6,50.0,台北一,109,53.2,52.1,81.0
14,黃金果,G2,101.08.02,40.0,40.0,台北一,109,40.0,40.0,18.0
15,黃金果,G2,101.08.04,58.0,50.0,台北一,109,54.4,54.7,20.0
16,黃金果,G2,101.08.07,55.0,45.0,台北一,109,50.8,51.4,103.0
17,黃金果,G2,101.08.08,57.8,45.0,台北一,109,47.6,45.0,47.0
18,黃金果,G2,101.08.18,40.0,40.0,台北一,109,40.0,40.0,12.0
19,黃金果,G2,101.08.24,45.0,45.0,台北一,109,45.0,45.0,17.0
20,黃金果,G2,101.08.28,80.0,80.0,台北一,109,80.0,80.0,24.0
21,黃金果,G2,101.08.29,75.0,75.0,台北一,109,75.0,75.0,14.0
22,黃金果,G2,101.08.30,50.0,50.0,台北一,109,50.0,50.0,45.0
23,黃金果,G2,101.08.31,50.0,50.0,台北一,109,50.0,50.0,45.0
24,黃金果,G2,101.09.02,50.0,50.0,台北一,109,50.0,50.0,52.0
25,黃金果,G2,101.09.07,55.0,55.0,台北一,109,55.0,55.0,22.0
26,黃金果,G2,101.09.09,50.0,50.0,台北一,109,50.0,50.0,40.0
27,黃金果,G2,101.09.12,45.0,45.0,台北一,109,45.0,45.0,17.0
28,黃金果,G2,101.09.13,45.0,45.0,台北一,109,45.0,45.0,14.0
