,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume
0,鳳梨-其他,B0,101.06.19,30.0,25.3,台北一,109,28.3,28.7,145.0
1,鳳梨-其他,B0,101.06.21,10.0,10.0,台北一,109,10.0,10.0,102.0
2,鳳梨-其他,B0,101.06.26,32.7,12.0,台北一,109,19.1,17.0,520.0
3,鳳梨-其他,B0,101.06.30,22.0,18.3,台北一,109,21.3,22.0,291.0
4,鳳梨-其他,B0,101.07.07,36.0,13.7,台北一,109,25.6,26.2,310.0
5,鳳梨-其他,B0,101.07.08,32.0,20.0,台北一,109,26.4,26.7,944.0
6,鳳梨-其他,B0,101.07.10,24.5,22.0,台北一,109,22.6,22.1,683.0
7,鳳梨-其他,B0,101.07.11,21.0,21.0,台北一,109,21.0,21.0,156.0
8,鳳梨-其他,B0,101.07.15,20.0,15.0,台北一,109,18.9,19.7,65.0
9,鳳梨-其他,B0,101.07.17,25.0,25.0,台北一,109,25.0,25.0,193.0
10,鳳梨-其他,B0,101.07.18,25.0,23.5,台北一,109,24.7,25.0,206.0
11,鳳梨-其他,B0,101.07.19,33.0,30.0,台北一,109,32.3,32.8,347.0
12,鳳梨-其他,B0,101.07.20,15.0,15.0,台北一,109,15.0,15.0,26.0
13,鳳梨-其他,B0,101.07.21,12.0,12.0,台北一,109,12.0,12.0,74.0
14,鳳梨-其他,B0,101.07.25,28.0,24.1,台北一,109,26.0,25.9,187.0
15,鳳梨-其他,B0,101.07.31,22.0,15.0,台北一,109,18.4,18.3,75.0
16,鳳梨-其他,B0,101.08.02,15.0,15.0,台北一,109,15.0,15.0,204.0
17,鳳梨-其他,B0,101.08.12,15.0,15.0,台北一,109,15.0,15.0,306.0
18,鳳梨-其他,B0,101.08.14,15.0,15.0,台北一,109,15.0,15.0,23.0
19,鳳梨-其他,B0,101.09.28,42.0,38.0,台北一,109,39.9,39.9,124.0
20,鳳梨-其他,B0,101.09.29,40.0,40.0,台北一,109,40.0,40.0,90.0
21,鳳梨-其他,B0,101.10.03,38.0,38.0,台北一,109,38.0,38.0,60.0
22,鳳梨-其他,B0,101.10.05,30.0,30.0,台北一,109,30.0,30.0,35.0
23,鳳梨-其他,B0,101.10.09,25.0,25.0,台北一,109,25.0,25.0,102.0
24,鳳梨-其他,B0,101.10.16,25.0,21.1,台北一,109,24.2,25.0,78.0
25,鳳梨-其他,B0,101.10.24,28.0,20.0,台北一,109,26.0,27.3,86.0
26,鳳梨-其他,B0,101.11.14,22.0,15.0,台北一,109,17.3,16.5,310.0
27,鳳梨-其他,B0,102.01.25,32.0,32.0,台北一,109,32.0,32.0,42.0
28,鳳梨-其他,B0,102.01.26,17.0,17.0,台北一,109,17.0,17.0,40.0
29,鳳梨-其他,B0,102.01.27,30.0,30.0,台北一,109,30.0,30.0,39.0
30,鳳梨-其他,B0,102.05.12,20.0,20.0,台北一,109,20.0,20.0,12.0
31,鳳梨-其他,B0,102.05.22,25.9,19.7,台北一,109,22.4,22.0,281.0
32,鳳梨-其他,B0,102.05.28,25.8,23.0,台北一,109,24.6,24.7,778.0
33,鳳梨-其他,B0,102.05.29,24.4,19.4,台北一,109,22.1,22.2,929.0
34,鳳梨-其他,B0,102.05.30,20.0,20.0,台北一,109,20.0,20.0,574.0
35,鳳梨-其他,B0,102.06.01,24.0,23.0,台北一,109,23.4,23.4,310.0
36,鳳梨-其他,B0,102.06.02,25.0,22.0,台北一,109,22.6,22.0,180.0
37,鳳梨-其他,B0,102.06.04,38.0,33.0,台北一,109,36.1,36.6,435.0
38,鳳梨-其他,B0,102.06.05,35.0,27.0,台北一,109,32.9,34.2,864.0
39,鳳梨-其他,B0,102.06.06,35.8,28.0,台北一,109,30.4,29.4,1021.0
40,鳳梨-其他,B0,102.06.07,37.0,31.8,台北一,109,34.9,35.3,426.0
41,鳳梨-其他,B0,102.06.08,35.0,30.0,台北一,109,33.1,33.6,805.0
42,鳳梨-其他,B0,102.06.09,32.3,23.5,台北一,109,27.3,26.9,1587.0
43,鳳梨-其他,B0,102.06.11,38.0,33.0,台北一,109,35.7,35.8,355.0
44,鳳梨-其他,B0,102.06.12,35.0,25.0,台北一,109,29.1,28.5,204.0
45,鳳梨-其他,B0,102.06.15,31.0,22.6,台北一,109,27.3,27.7,1916.0
46,鳳梨-其他,B0,102.06.16,29.8,20.4,台北一,109,24.9,24.7,1887.0
47,鳳梨-其他,B0,102.06.18,29.2,15.0,台北一,109,20.8,19.9,493.0
48,鳳梨-其他,B0,102.06.20,22.0,15.0,台北一,109,19.8,20.7,160.0
49,鳳梨-其他,B0,102.06.21,18.0,15.8,台北一,109,17.6,18.0,333.0
50,鳳梨-其他,B0,102.06.22,30.0,23.8,台北一,109,28.1,28.9,748.0
51,鳳梨-其他,B0,102.06.25,30.0,17.4,台北一,109,25.5,26.7,801.0
52,鳳梨-其他,B0,102.06.26,23.4,18.3,台北一,109,21.7,22.3,1713.0
53,鳳梨-其他,B0,102.06.27,21.0,18.0,台北一,109,18.9,18.5,1003.0
54,鳳梨-其他,B0,102.06.28,25.0,21.0,台北一,109,22.8,22.6,711.0
55,鳳梨-其他,B0,102.06.29,23.0,12.7,台北一,109,20.2,21.8,524.0
56,鳳梨-其他,B0,102.06.30,22.0,20.0,台北一,109,21.4,21.6,186.0
57,鳳梨-其他,B0,102.07.02,21.9,11.7,台北一,109,16.8,16.8,1438.0
58,鳳梨-其他,B0,102.07.03,23.0,13.0,台北一,109,17.0,16.4,814.0
59,鳳梨-其他,B0,102.07.04,22.4,13.0,台北一,109,17.2,16.9,1192.0
60,鳳梨-其他,B0,102.07.05,26.0,21.0,台北一,109,23.0,22.7,554.0
61,鳳梨-其他,B0,102.07.06,28.8,8.0,台北一,109,18.8,19.1,605.0
62,鳳梨-其他,B0,102.07.07,23.0,16.8,台北一,109,20.7,21.2,737.0
63,鳳梨-其他,B0,102.07.09,23.0,20.0,台北一,109,21.0,20.6,528.0
64,鳳梨-其他,B0,102.07.10,12.0,12.0,台北一,109,12.0,12.0,322.0
65,鳳梨-其他,B0,102.07.11,22.0,12.0,台北一,109,18.3,19.2,347.0
66,鳳梨-其他,B0,102.07.13,16.0,15.0,台北一,109,15.3,15.1,384.0
67,鳳梨-其他,B0,102.07.16,27.9,23.9,台北一,109,25.4,25.0,449.0
68,鳳梨-其他,B0,102.07.17,27.0,12.0,台北一,109,21.5,22.8,407.0
69,鳳梨-其他,B0,102.07.18,24.4,12.0,台北一,109,16.7,15.7,739.0
70,鳳梨-其他,B0,102.07.19,27.0,23.0,台北一,109,24.4,23.9,322.0
71,鳳梨-其他,B0,102.07.20,28.0,20.0,台北一,109,24.3,24.5,312.0
72,鳳梨-其他,B0,102.07.21,25.0,25.0,台北一,109,25.0,25.0,79.0
73,鳳梨-其他,B0,102.07.24,32.0,22.7,台北一,109,27.7,28.0,453.0
74,鳳梨-其他,B0,102.07.27,32.7,16.6,台北一,109,25.6,26.2,286.0
75,鳳梨-其他,B0,102.07.30,32.0,24.0,台北一,109,27.5,27.2,629.0
76,鳳梨-其他,B0,102.07.31,21.5,20.0,台北一,109,20.3,20.0,1113.0
77,鳳梨-其他,B0,102.08.01,23.0,22.0,台北一,109,22.6,22.7,547.0
78,鳳梨-其他,B0,102.08.02,25.0,21.1,台北一,109,24.2,25.0,287.0
79,鳳梨-其他,B0,102.08.07,23.0,19.5,台北一,109,22.3,23.0,1359.0
80,鳳梨-其他,B0,102.08.08,27.0,26.4,台北一,109,26.9,27.0,647.0
81,鳳梨-其他,B0,102.08.09,30.0,30.0,台北一,109,30.0,30.0,616.0
82,鳳梨-其他,B0,102.08.13,24.0,21.0,台北一,109,22.9,23.2,810.0
83,鳳梨-其他,B0,102.08.14,22.0,22.0,台北一,109,22.0,22.0,380.0
84,鳳梨-其他,B0,102.08.18,23.9,13.4,台北一,109,19.5,20.0,156.0
85,鳳梨-其他,B0,102.08.20,22.0,15.0,台北一,109,18.0,17.6,389.0
86,鳳梨-其他,B0,102.08.25,25.0,25.0,台北一,109,25.0,25.0,27.0
87,鳳梨-其他,B0,102.08.31,25.0,23.7,台北一,109,24.8,25.0,748.0
88,鳳梨-其他,B0,102.09.04,24.6,11.0,台北一,109,20.9,23.0,1376.0
89,鳳梨-其他,B0,102.09.08,20.0,18.0,台北一,109,19.4,19.7,32.0
90,鳳梨-其他,B0,102.09.18,22.0,19.8,台北一,109,21.6,22.0,769.0
91,鳳梨-其他,B0,102.09.19,20.0,20.0,台北一,109,20.0,20.0,87.0
92,鳳梨-其他,B0,102.09.24,20.0,20.0,台北一,109,20.0,20.0,47.0
93,鳳梨-其他,B0,102.11.27,8.0,8.0,台北一,109,8.0,8.0,206.0
94,鳳梨-其他,B0,102.11.29,15.0,15.0,台北一,109,15.0,15.0,99.0
95,鳳梨-其他,B0,102.12.03,45.0,45.0,台北一,109,45.0,45.0,30.0
96,鳳梨-其他,B0,102.12.17,25.0,18.0,台北一,109,20.5,19.9,255.0
97,鳳梨-其他,B0,102.12.24,20.0,20.0,台北一,109,20.0,20.0,165.0
98,鳳梨-其他,B0,102.12.25,20.0,20.0,台北一,109,20.0,20.0,158.0
99,鳳梨-其他,B0,102.12.31,25.0,20.0,台北一,109,23.3,23.8,458.0
100,鳳梨-其他,B0,103.01.01,22.0,10.2,台北一,109,19.2,21.3,325.0
101,鳳梨-其他,B0,103.01.02,20.0,20.0,台北一,109,20.0,20.0,400.0
102,鳳梨-其他,B0,103.01.07,16.0,12.0,台北一,109,15.2,16.0,490.0
103,鳳梨-其他,B0,103.01.08,16.0,7.0,台北一,109,14.1,15.8,153.0
104,鳳梨-其他,B0,103.01.10,7.0,6.0,台北一,109,6.7,6.9,54.0
105,鳳梨-其他,B0,103.01.14,20.0,16.0,台北一,109,17.1,16.5,259.0
106,鳳梨-其他,B0,103.01.15,22.0,20.0,台北一,109,20.8,20.7,259.0
107,鳳梨-其他,B0,103.01.23,20.0,5.0,台北一,109,13.1,13.5,108.0
108,鳳梨-其他,B0,103.01.28,25.0,20.0,台北一,109,22.7,22.9,176.0
109,鳳梨-其他,B0,103.02.07,27.0,12.0,台北一,109,22.0,23.7,214.0
110,鳳梨-其他,B0,103.03.30,13.0,13.0,台北一,109,13.0,13.0,22.0
