,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume
0,鳳梨-開英,B1,101.01.07,15.0,15.0,台北一,109,15.0,15.0,46.0
1,鳳梨-開英,B1,101.01.08,12.0,12.0,台北一,109,12.0,12.0,135.0
2,鳳梨-開英,B1,101.01.15,16.0,15.0,台北一,109,15.7,15.8,226.0
3,鳳梨-開英,B1,101.01.17,15.0,14.0,台北一,109,14.3,14.1,288.0
4,鳳梨-開英,B1,101.01.18,15.0,15.0,台北一,109,15.0,15.0,20.0
5,鳳梨-開英,B1,101.01.19,15.0,15.0,台北一,109,15.0,15.0,300.0
6,鳳梨-開英,B1,101.02.17,10.0,10.0,台北一,109,10.0,10.0,30.0
7,鳳梨-開英,B1,101.03.09,10.0,10.0,台北一,109,10.0,10.0,560.0
8,鳳梨-開英,B1,101.03.23,17.9,15.0,台北一,109,16.6,16.6,503.0
9,鳳梨-開英,B1,101.03.24,19.8,13.1,台北一,109,16.5,16.5,594.0
10,鳳梨-開英,B1,101.03.28,19.5,15.0,台北一,109,17.0,16.9,870.0
11,鳳梨-開英,B1,101.03.30,14.3,12.0,台北一,109,13.3,13.4,900.0
12,鳳梨-開英,B1,101.03.31,13.0,8.8,台北一,109,11.0,11.0,1383.0
13,鳳梨-開英,B1,101.04.01,11.6,7.9,台北一,109,10.4,10.8,1451.0
14,鳳梨-開英,B1,101.04.14,15.0,9.6,台北一,109,13.9,15.0,640.0
15,鳳梨-開英,B1,101.04.15,10.0,6.0,台北一,109,9.1,9.8,181.0
16,鳳梨-開英,B1,101.05.04,20.0,20.0,台北一,109,20.0,20.0,340.0
17,鳳梨-開英,B1,101.05.09,15.0,15.0,台北一,109,15.0,15.0,3153.0
18,鳳梨-開英,B1,101.05.10,27.0,15.0,台北一,109,22.2,22.9,178.0
19,鳳梨-開英,B1,101.05.19,20.0,16.7,台北一,109,19.3,20.0,2408.0
20,鳳梨-開英,B1,101.05.26,13.0,13.0,台北一,109,13.0,13.0,130.0
21,鳳梨-開英,B1,101.06.05,22.0,19.0,台北一,109,21.0,21.3,347.0
22,鳳梨-開英,B1,101.06.07,17.0,15.4,台北一,109,16.7,17.0,564.0
23,鳳梨-開英,B1,101.06.09,20.0,20.0,台北一,109,20.0,20.0,545.0
24,鳳梨-開英,B1,101.06.10,18.0,17.0,台北一,109,17.3,17.2,721.0
25,鳳梨-開英,B1,101.06.13,23.0,20.0,台北一,109,21.4,21.4,460.0
26,鳳梨-開英,B1,101.06.15,20.0,20.0,台北一,109,20.0,20.0,194.0
27,鳳梨-開英,B1,101.06.16,21.0,20.0,台北一,109,20.3,20.1,452.0
28,鳳梨-開英,B1,101.06.22,16.0,15.0,台北一,109,15.7,15.8,200.0
29,鳳梨-開英,B1,101.06.23,10.0,10.0,台北一,109,10.0,10.0,210.0
30,鳳梨-開英,B1,101.06.29,15.0,15.0,台北一,109,15.0,15.0,954.0
31,鳳梨-開英,B1,101.07.04,18.1,15.0,台北一,109,15.6,15.0,884.0
32,鳳梨-開英,B1,101.07.05,15.0,15.0,台北一,109,15.0,15.0,144.0
33,鳳梨-開英,B1,101.07.06,21.4,15.0,台北一,109,16.8,15.9,892.0
34,鳳梨-開英,B1,101.07.07,20.0,12.1,台北一,109,16.1,16.1,393.0
35,鳳梨-開英,B1,101.07.10,16.0,15.0,台北一,109,15.5,15.5,1128.0
36,鳳梨-開英,B1,101.07.11,15.0,15.0,台北一,109,15.0,15.0,90.0
37,鳳梨-開英,B1,101.07.12,18.0,18.0,台北一,109,18.0,18.0,198.0
38,鳳梨-開英,B1,101.07.13,15.0,15.0,台北一,109,15.0,15.0,450.0
39,鳳梨-開英,B1,101.07.14,15.0,15.0,台北一,109,15.0,15.0,480.0
40,鳳梨-開英,B1,101.07.17,15.0,12.0,台北一,109,13.9,14.1,2004.0
41,鳳梨-開英,B1,101.07.18,15.0,13.0,台北一,109,14.4,14.7,734.0
42,鳳梨-開英,B1,101.07.19,15.0,15.0,台北一,109,15.0,15.0,920.0
43,鳳梨-開英,B1,101.07.20,15.0,15.0,台北一,109,15.0,15.0,579.0
44,鳳梨-開英,B1,101.07.21,20.0,14.9,台北一,109,19.0,20.0,140.0
45,鳳梨-開英,B1,101.07.25,15.0,15.0,台北一,109,15.0,15.0,1132.0
46,鳳梨-開英,B1,101.07.26,26.0,15.0,台北一,109,19.5,18.9,517.0
47,鳳梨-開英,B1,101.07.27,17.7,15.0,台北一,109,15.5,15.0,1734.0
48,鳳梨-開英,B1,101.07.28,15.0,15.0,台北一,109,15.0,15.0,2770.0
49,鳳梨-開英,B1,101.07.29,15.0,15.0,台北一,109,15.0,15.0,864.0
50,鳳梨-開英,B1,101.07.31,17.4,15.0,台北一,109,15.5,15.0,1956.0
51,鳳梨-開英,B1,101.08.01,15.0,13.9,台北一,109,14.8,15.0,911.0
52,鳳梨-開英,B1,101.08.02,15.0,14.9,台北一,109,15.0,15.0,1109.0
53,鳳梨-開英,B1,101.08.03,15.0,15.0,台北一,109,15.0,15.0,1371.0
54,鳳梨-開英,B1,101.08.04,21.6,15.0,台北一,109,16.9,16.0,1113.0
55,鳳梨-開英,B1,101.08.07,15.0,10.0,台北一,109,12.0,11.7,4025.0
56,鳳梨-開英,B1,101.08.08,15.3,8.0,台北一,109,11.6,11.5,980.0
57,鳳梨-開英,B1,101.08.09,14.8,8.6,台北一,109,12.4,12.8,912.0
58,鳳梨-開英,B1,101.08.10,15.0,15.0,台北一,109,15.0,15.0,900.0
59,鳳梨-開英,B1,101.08.11,15.0,15.0,台北一,109,15.0,15.0,1325.0
60,鳳梨-開英,B1,101.08.12,15.0,15.0,台北一,109,15.0,15.0,814.0
61,鳳梨-開英,B1,101.08.14,15.0,15.0,台北一,109,15.0,15.0,1265.0
62,鳳梨-開英,B1,101.08.15,15.0,15.0,台北一,109,15.0,15.0,782.0
63,鳳梨-開英,B1,101.08.19,15.0,15.0,台北一,109,15.0,15.0,432.0
64,鳳梨-開英,B1,101.08.21,15.0,15.0,台北一,109,15.0,15.0,48.0
65,鳳梨-開英,B1,101.08.22,20.0,15.0,台北一,109,17.8,18.0,534.0
66,鳳梨-開英,B1,101.08.23,20.0,15.0,台北一,109,17.7,17.9,372.0
67,鳳梨-開英,B1,101.08.24,20.0,20.0,台北一,109,20.0,20.0,144.0
68,鳳梨-開英,B1,101.08.25,20.0,20.0,台北一,109,20.0,20.0,164.0
69,鳳梨-開英,B1,101.08.28,20.0,20.0,台北一,109,20.0,20.0,60.0
70,鳳梨-開英,B1,101.08.30,30.0,14.2,台北一,109,21.9,21.7,818.0
71,鳳梨-開英,B1,101.08.31,25.0,25.0,台北一,109,25.0,25.0,300.0
72,鳳梨-開英,B1,101.09.02,20.0,20.0,台北一,109,20.0,20.0,144.0
73,鳳梨-開英,B1,101.09.05,20.0,20.0,台北一,109,20.0,20.0,48.0
74,鳳梨-開英,B1,101.09.06,20.0,20.0,台北一,109,20.0,20.0,90.0
75,鳳梨-開英,B1,101.09.08,20.0,20.0,台北一,109,20.0,20.0,90.0
76,鳳梨-開英,B1,101.09.09,20.0,20.0,台北一,109,20.0,20.0,160.0
77,鳳梨-開英,B1,101.09.11,20.0,20.0,台北一,109,20.0,20.0,492.0
78,鳳梨-開英,B1,101.09.12,20.0,20.0,台北一,109,20.0,20.0,740.0
79,鳳梨-開英,B1,101.09.14,20.0,20.0,台北一,109,20.0,20.0,108.0
80,鳳梨-開英,B1,101.09.15,20.0,20.0,台北一,109,20.0,20.0,828.0
81,鳳梨-開英,B1,101.09.18,20.0,20.0,台北一,109,20.0,20.0,176.0
82,鳳梨-開英,B1,101.09.20,20.0,20.0,台北一,109,20.0,20.0,72.0
83,鳳梨-開英,B1,101.09.23,20.0,20.0,台北一,109,20.0,20.0,252.0
84,鳳梨-開英,B1,101.09.25,20.0,20.0,台北一,109,20.0,20.0,250.0
85,鳳梨-開英,B1,101.09.27,20.0,20.0,台北一,109,20.0,20.0,836.0
86,鳳梨-開英,B1,101.09.29,28.0,20.0,台北一,109,23.7,23.5,41.0
87,鳳梨-開英,B1,101.10.03,20.0,20.0,台北一,109,20.0,20.0,198.0
88,鳳梨-開英,B1,101.10.04,20.0,20.0,台北一,109,20.0,20.0,140.0
89,鳳梨-開英,B1,101.10.06,20.0,20.0,台北一,109,20.0,20.0,178.0
90,鳳梨-開英,B1,101.10.09,20.0,20.0,台北一,109,20.0,20.0,198.0
91,鳳梨-開英,B1,101.10.10,20.0,20.0,台北一,109,20.0,20.0,144.0
92,鳳梨-開英,B1,101.10.11,20.0,20.0,台北一,109,20.0,20.0,90.0
93,鳳梨-開英,B1,101.10.18,20.0,20.0,台北一,109,20.0,20.0,100.0
94,鳳梨-開英,B1,101.10.21,12.0,12.0,台北一,109,12.0,12.0,36.0
95,鳳梨-開英,B1,101.10.26,20.0,20.0,台北一,109,20.0,20.0,150.0
96,鳳梨-開英,B1,101.10.28,10.0,10.0,台北一,109,10.0,10.0,15.0
97,鳳梨-開英,B1,101.10.30,20.9,20.0,台北一,109,20.2,20.0,383.0
98,鳳梨-開英,B1,101.11.04,20.0,20.0,台北一,109,20.0,20.0,496.0
99,鳳梨-開英,B1,101.11.16,20.0,20.0,台北一,109,20.0,20.0,198.0
100,鳳梨-開英,B1,101.11.20,20.0,20.0,台北一,109,20.0,20.0,216.0
101,鳳梨-開英,B1,101.11.21,15.0,15.0,台北一,109,15.0,15.0,144.0
102,鳳梨-開英,B1,101.11.23,15.0,15.0,台北一,109,15.0,15.0,162.0
103,鳳梨-開英,B1,101.11.27,10.0,10.0,台北一,109,10.0,10.0,126.0
104,鳳梨-開英,B1,101.11.28,15.0,15.0,台北一,109,15.0,15.0,135.0
105,鳳梨-開英,B1,101.12.05,10.0,10.0,台北一,109,10.0,10.0,201.0
