,1,2,3,4,5,acc,batch_size,lookback
0,10,0,0,0,0,66.35514018691589,64,1
1,10,10,0,0,0,65.42056074766354,64,1
2,10,10,10,0,0,61.6822429906542,64,1
3,10,10,10,10,0,60.747663551401864,64,1
4,10,10,10,10,10,66.35514018691589,64,1
5,32,0,0,0,0,61.6822429906542,64,1
6,32,32,0,0,0,60.747663551401864,64,1
7,32,32,32,0,0,64.48598130841121,64,1
8,32,32,32,32,0,66.35514018691589,64,1
9,32,32,32,32,32,65.42056074766354,64,1
10,64,0,0,0,0,60.747663551401864,64,1
11,64,64,0,0,0,62.616822429906534,64,1
12,64,64,64,0,0,64.48598130841121,64,1
13,64,64,64,64,0,59.813084112149525,64,1
14,64,64,64,64,64,57.943925233644855,64,1
15,128,128,0,0,0,61.6822429906542,64,1
16,128,128,128,0,0,60.747663551401864,64,1
17,10,0,0,0,0,59.813084112149525,32,1
18,10,10,0,0,0,59.813084112149525,32,1
19,10,10,10,0,0,61.6822429906542,32,1
20,10,10,10,10,0,60.747663551401864,32,1
21,10,10,10,10,10,57.009345794392516,32,1
22,32,0,0,0,0,57.009345794392516,32,1
23,32,32,0,0,0,62.616822429906534,32,1
24,32,32,32,0,0,57.943925233644855,32,1
25,32,32,32,32,0,64.48598130841121,32,1
26,32,32,32,32,32,62.616822429906534,32,1
27,64,0,0,0,0,57.009345794392516,32,1
28,64,64,0,0,0,59.813084112149525,32,1
29,64,64,64,0,0,60.747663551401864,32,1
30,64,64,64,64,0,58.87850467289719,32,1
31,64,64,64,64,64,63.55140186915887,32,1
32,128,128,0,0,0,57.943925233644855,32,1
33,128,128,128,0,0,61.6822429906542,32,1
34,10,0,0,0,0,53.271028037383175,16,1
35,10,10,0,0,0,57.009345794392516,16,1
36,10,10,10,0,0,51.4018691588785,16,1
37,10,10,10,10,0,56.074766355140184,16,1
38,10,10,10,10,10,55.140186915887845,16,1
39,32,0,0,0,0,54.20560747663551,16,1
40,32,32,0,0,0,58.87850467289719,16,1
41,32,32,32,0,0,57.009345794392516,16,1
42,32,32,32,32,0,55.140186915887845,16,1
43,32,32,32,32,32,60.747663551401864,16,1
44,64,0,0,0,0,57.943925233644855,16,1
45,64,64,0,0,0,56.074766355140184,16,1
46,64,64,64,0,0,51.4018691588785,16,1
47,64,64,64,64,0,54.20560747663551,16,1
48,64,64,64,64,64,53.271028037383175,16,1
49,128,128,0,0,0,56.074766355140184,16,1
50,128,128,128,0,0,57.009345794392516,16,1
51,10,0,0,0,0,53.271028037383175,8,1
52,10,10,0,0,0,47.66355140186916,8,1
53,10,10,10,0,0,56.074766355140184,8,1
54,10,10,10,10,0,50.467289719626166,8,1
55,10,10,10,10,10,53.271028037383175,8,1
56,32,0,0,0,0,51.4018691588785,8,1
57,32,32,0,0,0,53.271028037383175,8,1
58,32,32,32,0,0,50.467289719626166,8,1
59,32,32,32,32,0,51.4018691588785,8,1
60,32,32,32,32,32,49.532710280373834,8,1
61,64,0,0,0,0,49.532710280373834,8,1
62,64,64,0,0,0,53.271028037383175,8,1
63,64,64,64,0,0,52.336448598130836,8,1
64,64,64,64,64,0,49.532710280373834,8,1
65,64,64,64,64,64,52.336448598130836,8,1
66,128,128,0,0,0,53.271028037383175,8,1
67,128,128,128,0,0,51.4018691588785,8,1
68,10,0,0,0,0,60.747663551401864,4,1
69,10,10,0,0,0,59.813084112149525,4,1
70,10,10,10,0,0,57.009345794392516,4,1
71,10,10,10,10,0,63.55140186915887,4,1
72,10,10,10,10,10,59.813084112149525,4,1
73,32,0,0,0,0,62.616822429906534,4,1
74,32,32,0,0,0,61.6822429906542,4,1
75,32,32,32,0,0,61.6822429906542,4,1
76,32,32,32,32,0,56.074766355140184,4,1
77,32,32,32,32,32,61.6822429906542,4,1
78,64,0,0,0,0,53.271028037383175,4,1
79,64,64,0,0,0,56.074766355140184,4,1
80,64,64,64,0,0,57.943925233644855,4,1
81,64,64,64,64,0,56.074766355140184,4,1
82,64,64,64,64,64,54.20560747663551,4,1
83,128,128,0,0,0,59.813084112149525,4,1
84,128,128,128,0,0,60.747663551401864,4,1
