,1,2,3,4,5,acc,batch_size,lookback
0,10,0,0,0,0,57.54716981132076,128,14
1,10,10,0,0,0,57.54716981132076,128,14
2,10,10,10,0,0,62.264150943396224,128,14
3,10,10,10,10,0,56.60377358490566,128,14
4,10,10,10,10,10,54.71698113207547,128,14
5,32,0,0,0,0,58.490566037735846,128,14
6,32,32,0,0,0,65.09433962264151,128,14
7,32,32,32,0,0,63.20754716981132,128,14
8,32,32,32,32,0,59.43396226415094,128,14
9,32,32,32,32,32,65.09433962264151,128,14
10,64,0,0,0,0,51.886792452830186,128,14
11,64,64,0,0,0,51.886792452830186,128,14
12,64,64,64,0,0,51.886792452830186,128,14
13,64,64,64,64,0,51.886792452830186,128,14
14,64,64,64,64,64,51.886792452830186,128,14
15,128,128,0,0,0,51.886792452830186,128,14
16,128,128,128,0,0,51.886792452830186,128,14
17,10,0,0,0,0,58.490566037735846,64,14
18,10,10,0,0,0,56.60377358490566,64,14
19,10,10,10,0,0,52.83018867924528,64,14
20,10,10,10,10,0,62.264150943396224,64,14
21,10,10,10,10,10,51.886792452830186,64,14
22,32,0,0,0,0,55.660377358490564,64,14
23,32,32,0,0,0,65.09433962264151,64,14
24,32,32,32,0,0,61.32075471698113,64,14
25,32,32,32,32,0,47.16981132075472,64,14
26,32,32,32,32,32,55.660377358490564,64,14
27,64,0,0,0,0,50.0,64,14
28,64,64,0,0,0,58.490566037735846,64,14
29,64,64,64,0,0,61.32075471698113,64,14
30,64,64,64,64,0,61.32075471698113,64,14
31,64,64,64,64,64,58.490566037735846,64,14
32,128,128,0,0,0,61.32075471698113,64,14
33,128,128,128,0,0,58.490566037735846,64,14
34,10,0,0,0,0,55.660377358490564,32,14
35,10,10,0,0,0,62.264150943396224,32,14
36,10,10,10,0,0,58.490566037735846,32,14
37,10,10,10,10,0,56.60377358490566,32,14
38,10,10,10,10,10,58.490566037735846,32,14
39,32,0,0,0,0,65.09433962264151,32,14
40,32,32,0,0,0,64.15094339622641,32,14
41,32,32,32,0,0,52.83018867924528,32,14
42,32,32,32,32,0,57.54716981132076,32,14
43,32,32,32,32,32,57.54716981132076,32,14
44,64,0,0,0,0,50.943396226415096,32,14
45,64,64,0,0,0,50.943396226415096,32,14
46,64,64,64,0,0,50.0,32,14
47,64,64,64,64,0,50.0,32,14
48,64,64,64,64,64,50.0,32,14
49,128,128,0,0,0,50.0,32,14
50,128,128,128,0,0,50.0,32,14
51,10,0,0,0,0,51.886792452830186,16,14
52,10,10,0,0,0,56.60377358490566,16,14
53,10,10,10,0,0,44.339622641509436,16,14
54,10,10,10,10,0,54.71698113207547,16,14
55,10,10,10,10,10,60.37735849056604,16,14
56,32,0,0,0,0,53.77358490566038,16,14
57,32,32,0,0,0,52.83018867924528,16,14
58,32,32,32,0,0,58.490566037735846,16,14
59,32,32,32,32,0,53.77358490566038,16,14
60,32,32,32,32,32,60.37735849056604,16,14
61,64,0,0,0,0,56.60377358490566,16,14
62,64,64,0,0,0,53.77358490566038,16,14
63,64,64,64,0,0,56.60377358490566,16,14
64,64,64,64,64,0,55.660377358490564,16,14
65,64,64,64,64,64,53.77358490566038,16,14
66,128,128,0,0,0,53.77358490566038,16,14
67,128,128,128,0,0,52.83018867924528,16,14
68,10,0,0,0,0,66.98113207547169,8,14
69,10,10,0,0,0,56.60377358490566,8,14
70,10,10,10,0,0,58.490566037735846,8,14
71,10,10,10,10,0,54.71698113207547,8,14
72,10,10,10,10,10,57.54716981132076,8,14
73,32,0,0,0,0,58.490566037735846,8,14
74,32,32,0,0,0,62.264150943396224,8,14
75,32,32,32,0,0,62.264150943396224,8,14
76,32,32,32,32,0,61.32075471698113,8,14
77,32,32,32,32,32,62.264150943396224,8,14
78,64,0,0,0,0,66.98113207547169,8,14
79,64,64,0,0,0,56.60377358490566,8,14
80,64,64,64,0,0,60.37735849056604,8,14
81,64,64,64,64,0,60.37735849056604,8,14
82,64,64,64,64,64,64.15094339622641,8,14
83,128,128,0,0,0,66.0377358490566,8,14
84,128,128,128,0,0,66.98113207547169,8,14
85,10,0,0,0,0,52.83018867924528,4,14
86,10,10,0,0,0,49.056603773584904,4,14
87,10,10,10,0,0,58.490566037735846,4,14
88,10,10,10,10,0,47.16981132075472,4,14
89,10,10,10,10,10,53.77358490566038,4,14
90,32,0,0,0,0,56.60377358490566,4,14
91,32,32,0,0,0,60.37735849056604,4,14
92,32,32,32,0,0,50.943396226415096,4,14
93,32,32,32,32,0,52.83018867924528,4,14
94,32,32,32,32,32,53.77358490566038,4,14
95,64,0,0,0,0,59.43396226415094,4,14
96,64,64,0,0,0,60.37735849056604,4,14
97,64,64,64,0,0,56.60377358490566,4,14
98,64,64,64,64,0,50.943396226415096,4,14
99,64,64,64,64,64,56.60377358490566,4,14
100,128,128,0,0,0,50.0,4,14
101,128,128,128,0,0,48.113207547169814,4,14
