,1,2,3,4,5,acc,batch_size,lookback
0,10,0,0,0,0,53.77358490566038,4,5
1,10,10,0,0,0,48.113207547169814,4,5
2,10,10,10,0,0,58.490566037735846,4,5
3,10,10,10,10,0,50.943396226415096,4,5
4,10,10,10,10,10,51.886792452830186,4,5
5,32,0,0,0,0,59.43396226415094,4,5
6,32,32,0,0,0,57.54716981132076,4,5
7,32,32,32,0,0,50.0,4,5
8,32,32,32,32,0,59.43396226415094,4,5
9,32,32,32,32,32,61.32075471698113,4,5
10,64,0,0,0,0,59.43396226415094,4,5
11,64,64,0,0,0,54.71698113207547,4,5
12,64,64,64,0,0,50.0,4,5
13,64,64,64,64,0,58.490566037735846,4,5
14,64,64,64,64,64,60.37735849056604,4,5
15,128,128,0,0,0,58.490566037735846,4,5
16,128,128,128,0,0,54.71698113207547,4,5
