,1,2,3,4,5,acc,batch_size,lookback
0,10,0,0,0,0,53.271028037383175,16,1
1,10,10,0,0,0,57.009345794392516,16,1
2,10,10,10,0,0,51.4018691588785,16,1
3,10,10,10,10,0,56.074766355140184,16,1
4,10,10,10,10,10,55.140186915887845,16,1
5,32,0,0,0,0,54.20560747663551,16,1
6,32,32,0,0,0,58.87850467289719,16,1
7,32,32,32,0,0,57.009345794392516,16,1
8,32,32,32,32,0,55.140186915887845,16,1
9,32,32,32,32,32,60.747663551401864,16,1
10,64,0,0,0,0,57.943925233644855,16,1
11,64,64,0,0,0,56.074766355140184,16,1
12,64,64,64,0,0,51.4018691588785,16,1
13,64,64,64,64,0,54.20560747663551,16,1
14,64,64,64,64,64,53.271028037383175,16,1
15,128,128,0,0,0,56.074766355140184,16,1
16,128,128,128,0,0,57.009345794392516,16,1
17,10,0,0,0,0,53.271028037383175,8,1
18,10,10,0,0,0,47.66355140186916,8,1
19,10,10,10,0,0,56.074766355140184,8,1
20,10,10,10,10,0,50.467289719626166,8,1
21,10,10,10,10,10,53.271028037383175,8,1
22,32,0,0,0,0,51.4018691588785,8,1
23,32,32,0,0,0,53.271028037383175,8,1
24,32,32,32,0,0,50.467289719626166,8,1
25,32,32,32,32,0,51.4018691588785,8,1
26,32,32,32,32,32,49.532710280373834,8,1
27,64,0,0,0,0,49.532710280373834,8,1
28,64,64,0,0,0,53.271028037383175,8,1
29,64,64,64,0,0,52.336448598130836,8,1
30,64,64,64,64,0,49.532710280373834,8,1
31,64,64,64,64,64,52.336448598130836,8,1
32,128,128,0,0,0,53.271028037383175,8,1
33,128,128,128,0,0,51.4018691588785,8,1
34,10,0,0,0,0,60.747663551401864,4,1
35,10,10,0,0,0,59.813084112149525,4,1
36,10,10,10,0,0,57.009345794392516,4,1
37,10,10,10,10,0,63.55140186915887,4,1
38,10,10,10,10,10,59.813084112149525,4,1
39,32,0,0,0,0,62.616822429906534,4,1
40,32,32,0,0,0,61.6822429906542,4,1
41,32,32,32,0,0,61.6822429906542,4,1
42,32,32,32,32,0,56.074766355140184,4,1
43,32,32,32,32,32,61.6822429906542,4,1
44,64,0,0,0,0,53.271028037383175,4,1
45,64,64,0,0,0,56.074766355140184,4,1
46,64,64,64,0,0,57.943925233644855,4,1
47,64,64,64,64,0,56.074766355140184,4,1
48,64,64,64,64,64,54.20560747663551,4,1
49,128,128,0,0,0,59.813084112149525,4,1
50,128,128,128,0,0,60.747663551401864,4,1
